-,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50
1,12.0,2.0,1.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
2,51.0,12.0,5.0,2.0,1.0,1.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
3,118.0,28.0,12.0,6.0,4.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
4,212.0,51.0,22.0,12.0,7.0,5.0,3.0,2.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
5,334.0,81.0,35.0,19.0,12.0,8.0,6.0,4.0,3.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
6,483.0,118.0,51.0,28.0,17.0,12.0,8.0,6.0,5.0,4.0,3.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
7,659.0,162.0,70.0,39.0,24.0,16.0,12.0,9.0,7.0,5.0,4.0,3.0,3.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
8,862.0,212.0,93.0,51.0,32.0,22.0,16.0,12.0,9.0,7.0,6.0,5.0,4.0,3.0,3.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
9,1093.0,270.0,118.0,65.0,41.0,28.0,20.0,15.0,12.0,9.0,8.0,6.0,5.0,4.0,4.0,3.0,3.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
10,1351.0,334.0,146.0,81.0,51.0,35.0,25.0,19.0,15.0,12.0,10.0,8.0,7.0,6.0,5.0,4.0,3.0,3.0,3.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
11,1637.0,405.0,178.0,99.0,62.0,43.0,31.0,23.0,18.0,14.0,12.0,10.0,8.0,7.0,6.0,5.0,4.0,4.0,3.0,3.0,3.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0
12,1950.0,483.0,212.0,118.0,75.0,51.0,37.0,28.0,22.0,17.0,14.0,12.0,10.0,8.0,7.0,6.0,5.0,5.0,4.0,4.0,3.0,3.0,3.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,2290.0,567.0,250.0,139.0,88.0,60.0,44.0,33.0,26.0,21.0,17.0,14.0,12.0,10.0,9.0,7.0,6.0,6.0,5.0,4.0,4.0,4.0,3.0,3.0,3.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,2658.0,659.0,290.0,162.0,102.0,70.0,51.0,39.0,30.0,24.0,20.0,16.0,14.0,12.0,10.0,9.0,8.0,7.0,6.0,5.0,5.0,4.0,4.0,3.0,3.0,3.0,3.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
15,3053.0,757.0,334.0,186.0,118.0,81.0,59.0,45.0,35.0,28.0,23.0,19.0,16.0,14.0,12.0,10.0,9.0,8.0,7.0,6.0,6.0,5.0,4.0,4.0,4.0,3.0,3.0,3.0,3.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
16,3475.0,862.0,380.0,212.0,135.0,93.0,68.0,51.0,40.0,32.0,26.0,22.0,18.0,16.0,14.0,12.0,10.0,9.0,8.0,7.0,6.0,6.0,5.0,5.0,4.0,4.0,4.0,3.0,3.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
17,3925.0,974.0,430.0,240.0,152.0,105.0,77.0,58.0,46.0,37.0,30.0,25.0,21.0,18.0,15.0,13.0,12.0,10.0,9.0,8.0,7.0,7.0,6.0,5.0,5.0,4.0,4.0,4.0,3.0,3.0,3.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
18,4402.0,1093.0,483.0,270.0,171.0,118.0,86.0,65.0,51.0,41.0,34.0,28.0,24.0,20.0,17.0,15.0,13.0,12.0,10.0,9.0,8.0,8.0,7.0,6.0,6.0,5.0,5.0,4.0,4.0,4.0,3.0,3.0,3.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
19,4906.0,1219.0,538.0,301.0,191.0,132.0,96.0,73.0,57.0,46.0,38.0,31.0,27.0,23.0,20.0,17.0,15.0,13.0,12.0,11.0,9.0,9.0,8.0,7.0,6.0,6.0,5.0,5.0,5.0,4.0,4.0,4.0,3.0,3.0,3.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0
20,5438.0,1351.0,597.0,334.0,212.0,146.0,107.0,81.0,64.0,51.0,42.0,35.0,30.0,25.0,22.0,19.0,17.0,15.0,13.0,12.0,11.0,10.0,9.0,8.0,7.0,7.0,6.0,6.0,5.0,5.0,4.0,4.0,4.0,3.0,3.0,3.0,3.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0
21,5997.0,1491.0,659.0,368.0,234.0,162.0,118.0,90.0,70.0,57.0,47.0,39.0,33.0,28.0,24.0,21.0,19.0,16.0,15.0,13.0,12.0,11.0,10.0,9.0,8.0,7.0,7.0,6.0,6.0,5.0,5.0,5.0,4.0,4.0,4.0,3.0,3.0,3.0,3.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0
22,6583.0,1637.0,724.0,405.0,258.0,178.0,130.0,99.0,78.0,62.0,51.0,43.0,36.0,31.0,27.0,23.0,21.0,18.0,16.0,14.0,13.0,12.0,11.0,10.0,9.0,8.0,7.0,7.0,6.0,6.0,5.0,5.0,5.0,4.0,4.0,4.0,4.0,3.0,3.0,3.0,3.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
23,7197.0,1790.0,791.0,443.0,282.0,195.0,142.0,108.0,85.0,68.0,56.0,47.0,40.0,34.0,29.0,26.0,23.0,20.0,18.0,16.0,14.0,13.0,12.0,11.0,10.0,9.0,8.0,8.0,7.0,6.0,6.0,6.0,5.0,5.0,5.0,4.0,4.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0
24,7838.0,1950.0,862.0,483.0,307.0,212.0,155.0,118.0,93.0,75.0,61.0,51.0,43.0,37.0,32.0,28.0,25.0,22.0,20.0,17.0,16.0,14.0,13.0,12.0,11.0,10.0,9.0,8.0,8.0,7.0,7.0,6.0,6.0,5.0,5.0,5.0,4.0,4.0,4.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,2.0,2.0,2.0
25,8507.0,2117.0,936.0,524.0,334.0,231.0,169.0,128.0,101.0,81.0,67.0,56.0,47.0,40.0,35.0,31.0,27.0,24.0,21.0,19.0,17.0,16.0,14.0,13.0,12.0,11.0,10.0,9.0,8.0,8.0,7.0,7.0,6.0,6.0,6.0,5.0,5.0,5.0,4.0,4.0,4.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,2.0
26,9202.0,2290.0,1013.0,567.0,361.0,250.0,183.0,139.0,109.0,88.0,72.0,60.0,51.0,44.0,38.0,33.0,29.0,26.0,23.0,21.0,19.0,17.0,15.0,14.0,13.0,12.0,11.0,10.0,9.0,9.0,8.0,7.0,7.0,6.0,6.0,6.0,5.0,5.0,5.0,4.0,4.0,4.0,4.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0
27,9926.0,2471.0,1093.0,612.0,390.0,270.0,197.0,150.0,118.0,95.0,78.0,65.0,55.0,48.0,41.0,36.0,32.0,28.0,25.0,22.0,20.0,18.0,17.0,15.0,14.0,13.0,12.0,11.0,10.0,9.0,9.0,8.0,8.0,7.0,7.0,6.0,6.0,5.0,5.0,5.0,5.0,4.0,4.0,4.0,4.0,3.0,3.0,3.0,3.0,3.0
28,10676.0,2658.0,1176.0,659.0,420.0,290.0,212.0,162.0,127.0,102.0,84.0,70.0,60.0,51.0,44.0,39.0,34.0,30.0,27.0,24.0,22.0,20.0,18.0,16.0,15.0,14.0,13.0,12.0,11.0,10.0,9.0,9.0,8.0,8.0,7.0,7.0,6.0,6.0,6.0,5.0,5.0,5.0,4.0,4.0,4.0,4.0,4.0,3.0,3.0,3.0
29,11454.0,2852.0,1262.0,707.0,451.0,312.0,228.0,174.0,137.0,110.0,91.0,76.0,64.0,55.0,48.0,42.0,37.0,33.0,29.0,26.0,24.0,21.0,19.0,18.0,16.0,15.0,14.0,13.0,12.0,11.0,10.0,9.0,9.0,8.0,8.0,7.0,7.0,6.0,6.0,6.0,5.0,5.0,5.0,5.0,4.0,4.0,4.0,4.0,4.0,3.0
30,12259.0,3053.0,1351.0,757.0,483.0,334.0,244.0,186.0,146.0,118.0,97.0,81.0,69.0,59.0,51.0,45.0,39.0,35.0,31.0,28.0,25.0,23.0,21.0,19.0,17.0,16.0,15.0,14.0,13.0,12.0,11.0,10.0,10.0,9.0,8.0,8.0,7.0,7.0,7.0,6.0,6.0,6.0,5.0,5.0,5.0,4.0,4.0,4.0,4.0,4.0
31,13092.0,3261.0,1444.0,809.0,516.0,357.0,261.0,199.0,157.0,126.0,104.0,87.0,74.0,63.0,55.0,48.0,42.0,38.0,34.0,30.0,27.0,25.0,22.0,20.0,19.0,17.0,16.0,15.0,14.0,13.0,12.0,11.0,10.0,10.0,9.0,8.0,8.0,7.0,7.0,7.0,6.0,6.0,6.0,5.0,5.0,5.0,5.0,4.0,4.0,4.0
32,13951.0,3475.0,1539.0,862.0,550.0,380.0,278.0,212.0,167.0,135.0,111.0,93.0,79.0,68.0,59.0,51.0,45.0,40.0,36.0,32.0,29.0,26.0,24.0,22.0,20.0,18.0,17.0,16.0,15.0,14.0,13.0,12.0,11.0,10.0,10.0,9.0,9.0,8.0,8.0,7.0,7.0,6.0,6.0,6.0,5.0,5.0,5.0,5.0,4.0,4.0
33,14839.0,3697.0,1637.0,917.0,585.0,405.0,296.0,226.0,178.0,143.0,118.0,99.0,84.0,72.0,62.0,55.0,48.0,43.0,38.0,34.0,31.0,28.0,26.0,23.0,21.0,20.0,18.0,17.0,16.0,14.0,13.0,13.0,12.0,11.0,10.0,10.0,9.0,9.0,8.0,8.0,7.0,7.0,7.0,6.0,6.0,6.0,5.0,5.0,5.0,5.0
34,15753.0,3925.0,1738.0,974.0,621.0,430.0,315.0,240.0,189.0,152.0,125.0,105.0,89.0,77.0,66.0,58.0,51.0,46.0,41.0,37.0,33.0,30.0,27.0,25.0,23.0,21.0,19.0,18.0,17.0,15.0,14.0,13.0,13.0,12.0,11.0,10.0,10.0,9.0,9.0,8.0,8.0,7.0,7.0,7.0,6.0,6.0,6.0,5.0,5.0,5.0
35,16695.0,4160.0,1843.0,1033.0,659.0,456.0,334.0,255.0,200.0,162.0,133.0,111.0,95.0,81.0,70.0,62.0,54.0,48.0,43.0,39.0,35.0,32.0,29.0,26.0,24.0,22.0,21.0,19.0,18.0,16.0,15.0,14.0,13.0,13.0,12.0,11.0,10.0,10.0,9.0,9.0,8.0,8.0,7.0,7.0,7.0,6.0,6.0,6.0,6.0,5.0
36,17664.0,4402.0,1950.0,1093.0,697.0,483.0,353.0,270.0,212.0,171.0,141.0,118.0,100.0,86.0,75.0,65.0,58.0,51.0,46.0,41.0,37.0,34.0,31.0,28.0,26.0,24.0,22.0,20.0,19.0,17.0,16.0,15.0,14.0,13.0,13.0,12.0,11.0,10.0,10.0,9.0,9.0,8.0,8.0,8.0,7.0,7.0,6.0,6.0,6.0,6.0
37,18661.0,4651.0,2060.0,1155.0,737.0,510.0,373.0,285.0,224.0,181.0,149.0,125.0,106.0,91.0,79.0,69.0,61.0,54.0,48.0,44.0,39.0,36.0,33.0,30.0,27.0,25.0,23.0,21.0,20.0,19.0,17.0,16.0,15.0,14.0,13.0,12.0,12.0,11.0,10.0,10.0,9.0,9.0,8.0,8.0,8.0,7.0,7.0,7.0,6.0,6.0
38,19685.0,4906.0,2174.0,1219.0,778.0,538.0,394.0,301.0,237.0,191.0,157.0,132.0,112.0,96.0,83.0,73.0,64.0,57.0,51.0,46.0,42.0,38.0,34.0,31.0,29.0,27.0,25.0,23.0,21.0,20.0,18.0,17.0,16.0,15.0,14.0,13.0,12.0,12.0,11.0,11.0,10.0,9.0,9.0,9.0,8.0,8.0,7.0,7.0,7.0,6.0
39,20736.0,5169.0,2290.0,1284.0,819.0,567.0,415.0,317.0,250.0,202.0,166.0,139.0,118.0,101.0,88.0,77.0,68.0,60.0,54.0,49.0,44.0,40.0,36.0,33.0,31.0,28.0,26.0,24.0,22.0,21.0,19.0,18.0,17.0,16.0,15.0,14.0,13.0,12.0,12.0,11.0,11.0,10.0,9.0,9.0,9.0,8.0,8.0,7.0,7.0,7.0
40,21815.0,5438.0,2410.0,1351.0,862.0,597.0,437.0,334.0,263.0,212.0,175.0,146.0,124.0,107.0,93.0,81.0,72.0,64.0,57.0,51.0,46.0,42.0,38.0,35.0,32.0,30.0,27.0,25.0,24.0,22.0,20.0,19.0,18.0,17.0,16.0,15.0,14.0,13.0,12.0,12.0,11.0,11.0,10.0,10.0,9.0,9.0,8.0,8.0,7.0,7.0
41,22921.0,5714.0,2532.0,1420.0,906.0,628.0,460.0,351.0,276.0,223.0,184.0,154.0,131.0,112.0,98.0,85.0,75.0,67.0,60.0,54.0,49.0,44.0,40.0,37.0,34.0,31.0,29.0,27.0,25.0,23.0,22.0,20.0,19.0,18.0,17.0,16.0,15.0,14.0,13.0,12.0,12.0,11.0,11.0,10.0,10.0,9.0,9.0,8.0,8.0,8.0
42,24054.0,5997.0,2658.0,1491.0,951.0,659.0,483.0,368.0,290.0,234.0,193.0,162.0,137.0,118.0,102.0,90.0,79.0,70.0,63.0,57.0,51.0,47.0,42.0,39.0,36.0,33.0,30.0,28.0,26.0,24.0,23.0,21.0,20.0,19.0,17.0,16.0,16.0,15.0,14.0,13.0,12.0,12.0,11.0,11.0,10.0,10.0,9.0,9.0,8.0,8.0
43,25215.0,6287.0,2786.0,1563.0,998.0,691.0,506.0,386.0,304.0,246.0,203.0,170.0,144.0,124.0,108.0,94.0,83.0,74.0,66.0,60.0,54.0,49.0,45.0,41.0,37.0,34.0,32.0,30.0,27.0,26.0,24.0,22.0,21.0,20.0,18.0,17.0,16.0,15.0,15.0,14.0,13.0,12.0,12.0,11.0,11.0,10.0,10.0,9.0,9.0,8.0
44,26403.0,6583.0,2918.0,1637.0,1045.0,724.0,530.0,405.0,319.0,258.0,212.0,178.0,151.0,130.0,113.0,99.0,87.0,78.0,69.0,62.0,56.0,51.0,47.0,43.0,39.0,36.0,33.0,31.0,29.0,27.0,25.0,23.0,22.0,21.0,19.0,18.0,17.0,16.0,15.0,14.0,14.0,13.0,12.0,12.0,11.0,11.0,10.0,10.0,9.0,9.0
45,27618.0,6887.0,3053.0,1713.0,1093.0,757.0,555.0,424.0,334.0,270.0,222.0,186.0,158.0,136.0,118.0,103.0,91.0,81.0,73.0,65.0,59.0,54.0,49.0,45.0,41.0,38.0,35.0,32.0,30.0,28.0,26.0,25.0,23.0,22.0,20.0,19.0,18.0,17.0,16.0,15.0,14.0,14.0,13.0,12.0,12.0,11.0,11.0,10.0,10.0,9.0
46,28861.0,7197.0,3191.0,1790.0,1143.0,791.0,580.0,443.0,349.0,282.0,232.0,195.0,165.0,142.0,123.0,108.0,96.0,85.0,76.0,68.0,62.0,56.0,51.0,47.0,43.0,40.0,37.0,34.0,32.0,29.0,27.0,26.0,24.0,23.0,21.0,20.0,19.0,18.0,17.0,16.0,15.0,14.0,14.0,13.0,12.0,12.0,11.0,11.0,10.0,10.0
47,30131.0,7514.0,3331.0,1869.0,1193.0,826.0,606.0,462.0,364.0,294.0,243.0,203.0,173.0,149.0,129.0,113.0,100.0,89.0,79.0,72.0,65.0,59.0,54.0,49.0,45.0,42.0,38.0,36.0,33.0,31.0,29.0,27.0,25.0,24.0,22.0,21.0,20.0,19.0,18.0,17.0,16.0,15.0,14.0,14.0,13.0,12.0,12.0,11.0,11.0,10.0
48,31429.0,7838.0,3475.0,1950.0,1245.0,862.0,632.0,483.0,380.0,307.0,253.0,212.0,180.0,155.0,135.0,118.0,104.0,93.0,83.0,75.0,68.0,61.0,56.0,51.0,47.0,43.0,40.0,37.0,35.0,32.0,30.0,28.0,26.0,25.0,23.0,22.0,21.0,20.0,18.0,17.0,17.0,16.0,15.0,14.0,14.0,13.0,12.0,12.0,11.0,11.0
49,32753.0,8169.0,3622.0,2032.0,1298.0,899.0,659.0,503.0,396.0,320.0,264.0,221.0,188.0,162.0,140.0,123.0,109.0,97.0,87.0,78.0,70.0,64.0,58.0,53.0,49.0,45.0,42.0,39.0,36.0,34.0,31.0,29.0,27.0,26.0,24.0,23.0,22.0,20.0,19.0,18.0,17.0,16.0,16.0,15.0,14.0,14.0,13.0,12.0,12.0,11.0
50,34105.0,8507.0,3772.0,2117.0,1351.0,936.0,686.0,524.0,413.0,334.0,275.0,231.0,196.0,169.0,146.0,128.0,113.0,101.0,90.0,81.0,73.0,67.0,61.0,56.0,51.0,47.0,44.0,40.0,38.0,35.0,33.0,31.0,29.0,27.0,25.0,24.0,23.0,21.0,20.0,19.0,18.0,17.0,16.0,16.0,15.0,14.0,13.0,13.0,12.0,12.0
